filename,genre,duration(in sec),mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
j1,Jazz,30,-345.76,146.97,-0.51,22.63,5.82,10.36,-0.16,-1.72,-6.12,-0.52,1.04,1.22,-1.94
j2,Jazz,30,-318.76,162.64,-16.49,39.12,31.43,15.26,-0.69,5.8,-8.64,-4,1.37,0.07,-3.1
j3,Jazz,30,-192.51,113.19,-6.35,39.58,-9.18,17.2,-19.1,12.2,-15.47,9.69,-10.96,12.92,-7.29
j4,Jazz,30,-253.18,122.69,-5.67,40.58,-5.83,18.41,-16.66,14.6,-15.16,8.21,-13.89,8.28,-7.3
j5,Jazz,30,-217.64,112.63,12.67,39.52,-9.82,17.37,-12.37,20.7,-18.29,16.35,-10.02,9.04,-6.88
j6,Jazz,30,-358.28,137.95,-11,20.85,1.95,-3.41,-11.53,-3.27,-11.02,-8.39,-7.48,-1,-6.74
j7,Jazz,30,-200,117.24,-12.39,39.11,-6.36,16.53,-17.31,13.63,-17.66,14.04,-10.21,12.18,-6.72
j8,Jazz,30,-259.91,123.19,-6.4,37.57,-2.98,13.07,-14.08,5.31,-11.97,3.52,-9.64,5.34,-7.84
j9,Jazz,30,-233.12,105.91,-2.66,37.42,-8.17,15.73,-15.06,8.37,-16.37,8.64,-9.37,7.09,-6
j10,Jazz,30,-192.11,105.57,-26.03,40.17,-6.66,26.51,-10.39,18.47,-14,14.94,-12.7,9.58,-5.2
j11,Jazz,30,-267.32,129.05,-14.72,41.27,-1.02,22.95,-8.13,11.19,-9.07,11.32,-5.5,13.58,-1.18
j12,Jazz,30,-256.98,175.34,-44.82,25.64,-4.26,-0.23,-11.32,-9.19,-4.1,-8.31,-22.55,-7.61,-7.66
j13,Jazz,30,-376.71,119.16,-2.95,48.5,13.16,21.25,0.02,8.01,-0.41,2.37,-0.03,0.9,1.67
j14,Jazz,30,-174.72,75.89,-12.8,52.62,-29.41,22.76,-22.37,18.63,-24.71,21.17,-13.81,13.01,-7.86
j15,Jazz,30,-298.76,112.08,6.49,28.39,-6.77,16.65,-11.81,12.74,-8.34,13.89,-4.24,2.32,-4.33
j16,Jazz,30,-188.12,98.61,-11.28,47.22,-20.34,18.78,-15.8,13.69,-15.46,17.43,1.01,18.28,4.64
j17,Jazz,30,-202.62,105.85,-20.56,43.89,-14.28,25.3,-15.59,15.32,-13.29,12.28,-8.77,10.16,-1.86
j18,Jazz,30,-237.68,108.31,2.04,41.77,-10.45,16.94,-8.6,12.79,-9.11,15.94,-6.52,7.18,-8.26
j19,Jazz,30,-414.08,104.83,-7.83,37.85,0.19,23.41,-7.3,5.74,-1.07,8.49,-5.5,0.88,-1.45
j20,Jazz,30,-262.11,108.99,-6.34,55.17,-10.67,18.52,-4.25,18.55,-19.7,17.58,-10.99,11.92,-3.43
j21,Jazz,30,-233.79,108.45,-10.69,38.7,-10.76,14.16,-16.26,10.37,-20.81,10.07,-12.02,7.76,-12.03
j22,Jazz,30,-232.96,93.83,-16.19,49.59,-13.95,13.5,-11.83,13.3,-25.83,17.38,-13.32,9.29,-5.49
j23,Jazz,30,-297.3,193.07,10.17,-1.6,3.39,9.99,-7.26,4.69,-5.39,-2.86,-10.23,0.38,-4.97
j24,Jazz,30,-319.02,115.67,-23.04,52.6,-12.81,14.63,-8.21,0.31,-23.87,10.84,-9.59,7.48,-4.25
j25,Jazz,30,-237.52,115.94,-15.43,47.1,-13.5,18.2,-13.96,15.33,-17.53,13.42,-6.23,8.63,-7.25
j26,Jazz,30,-305.47,121.93,2.61,36.93,-8.56,17.91,-9.27,10.56,-9.93,2.32,-12.68,0.31,-8.61
j27,Jazz,30,-261.82,139.54,-17.11,49.89,-5.86,19.85,1.85,5.71,-7.84,-0.42,-1.26,-2.19,4.46
j28,Jazz,30,-146.38,118.19,-34.67,58.78,-14.96,34.3,-6.59,13.89,-14.64,9.19,-11.34,1.1,-5.5
j29,Jazz,30,-261.91,182.53,-16.9,49.86,-1.22,6.35,6,-8.88,-10.31,-3.2,-5.37,-3.55,-2.9
j30,Jazz,30,-196.94,152.83,-36.87,41.8,-8.7,4.41,-11.57,1.42,-14.74,0.47,-10.17,-6.93,-6.25
j31,Jazz,30,-198.47,140.69,-18.41,30.51,-6.7,15.72,-0.74,7.29,-6.59,6.07,-5.13,3.45,-2.85
